Hyb-10,Hyb-12,Hyb-16,Hyb-17,Hyb-22,Hyb-23,Hyb-24,Hyb-25,Hyb-30,Hyb-32,Hyb-34,Hyb-37,Hyb-39,Hyb-44,Hyb-58,Hyb-6
3973.313953,4805.366726,4485.279645,4668.09648,4742.9295,4994.349088,4513.540042,4702.85732,4681.237805,4750.155287,4528.837209,4314.252289,4501.759222,5170.585845,4730.310115,4577.217037
3973.987941,4893.677326,4494.957403,4926.174811,4818.516332,5178.952856,4546.026286,5090.320122,4791.208883,4767.521286,4584.614411,4509.432339,4551.118056,5252.972586,4762.87969,4604.418096
3994.216119,4954.756871,4504.773232,5043.303027,4925.577035,5299.759423,4656.976744,5231.399753,4841.856327,4772.026503,4642.682005,4586.64292,4562.820264,5268.388099,4770.734349,4607.659924
4004.625,4968.941249,4555.208423,5150.74473,4999.161449,5303.896758,4675.048756,5242.21997,4853.291043,4857.023952,4678.904998,4592.969819,4803.696288,5278.515647,4779.219695,4648.962953
4141.806888,5046.729651,4566.025289,5207.315449,5264.635124,5359.132379,4798.066413,5250.622256,4863.737324,5075.477963,4760.916358,4714.160068,4909.974073,5335.609907,4869.944591,4673.885887
4157.356431,5326.581792,4630.963455,5209.302326,5282.181141,5622.062951,5323.037791,5436.139991,4872.899579,5094.662803,4803.696288,4771.136836,4933.975493,5392.428446,4894.350891,4725.140337
4214.829286,5343.515875,4646.122713,5262.309492,5440.350452,5696.853528,5422.151366,5581.640437,4906.523256,5152.277696,4820.345126,4772.296523,5038.764901,5409.147287,4984.171157,4765.793708
4229.689695,5692.707846,4726.958955,5284.509246,5464.529721,5711.387092,5573.323469,5716.694544,4926.56111,5176.235465,5057.531966,4793.602802,5145.184082,5655.181214,4988.855741,4775.279879
4254.25184,5765.575243,4834.834064,5399.041733,5487.701252,5864.321189,5600.675531,5753.686649,4965.980477,5390.106099,5097.94439,4823.459448,5185.025739,5762.55858,5092.508727,4793.520259
4353.345479,5792.759236,4980.706805,5442.416021,5498.531633,5866.694065,5700.199691,5805.164729,4997.404434,5396.969074,5200.264411,4866.263566,5189.780381,5823.250345,5109.149049,4806.445387
4368.620447,5803.77907,5064.483461,5488.612387,5503.523558,5905.932049,5814.534884,5805.832452,5062.816972,5398.918346,5200.425355,4894.718797,5273.592063,5941.408705,5119.500028,4814.593442
4440.430596,6027.298876,5083.498542,5493.488372,5603.677293,5916.360151,5873.158373,5879.876123,5196.374796,5473.303275,5319.083024,4984.520878,5290.618031,5993.295898,5136.005321,4879.944456
4521.257267,6076.871246,5160.939195,5528.496383,5791.464116,5986.060321,5892.29799,5891.916667,5206.69687,5549.174794,5368.39629,4992.260971,5322.416934,6168.130753,5142.387355,4891.840515
4559.878747,6247.005221,5220.49317,5611.652001,5805.065834,6118.820905,6099.407578,5936.281544,5218.676004,5636.133494,5462.509476,4996.404539,5383.874942,6232.063537,5164.600674,4970.112084
4645.050042,6427.744186,5288.688419,5646.802326,5867.344961,6203.274605,6119.352005,5939.021092,5219.657701,5694.209042,5478.678193,5018.502514,5388.535039,6256.033563,5180.424271,4991.362126
4659.973739,6428.801781,5290.615189,5670.760248,5945.05814,6235.178244,6134.951129,6049.189401,5233.451247,5704.194994,5483.698204,5028.873012,5439.201578,6374.251453,5186.312365,5121.166897
4730.485164,6456.708913,5313.643127,5748.43276,6063.309361,6283.639172,6519.834655,6177.226216,5240.610739,5794.140077,5548.764054,5262.819068,5484.223162,6386.681874,5191.125228,5180.185889
4747.14104,6578.426357,5344.984002,5772.47606,6090.516238,6337.36061,6581.631739,6212.298134,5259.184222,5831.173012,5556.344332,5354.118403,5511.262398,6446.618992,5214.269773,5236.28876
4747.685588,6579.513388,5409.029662,5785.180539,6115.928684,6423.983514,6616.520712,6259.097609,5280.437452,5981.848837,5559.699595,5432.646591,5550.668347,6489.035003,5368.72602,5244.155392
4807.084519,6723.255814,5432.639636,5822.296852,6172.375273,6452.097091,6641.168459,6488.156034,5285.976496,6119.546718,5577.280699,5457.030827,5554.547747,6541.393052,5382.263736,5249.489451
4819.079981,7075.451274,5455.553209,5836.515798,6233.544074,6584.192676,6667.36708,6537.915009,5379.167878,6266.175711,5608.380682,5494.997209,5614.591255,6644.26686,5422.484315,5270.850951
4847.374242,7358.170135,5486.855331,5867.7463,6476.956336,6706.983058,6703.733219,6673.698434,5409.591667,6317.750465,5637.884471,5513.781977,5699.272217,6751.046213,5478.285725,5273.060491
4878.254586,7396.892464,5500.264052,5905.824886,6524.237013,6840.575493,6754.809337,6925.145349,5446.705426,6348.864542,5645.423722,5558.065651,5761.870155,6877.283435,5542.870176,5397.490922
4900.422453,7449.655951,5519.246915,5920.313904,6589.806202,6999.969247,6770.398108,6955.79199,5608.336563,6463.326915,5649.53218,5567.47093,5764.331485,6905.883428,5550.181987,5413.911072
4946.800138,7459.801864,5531.747207,5922.448664,6591.92661,7017.952619,6836.05968,6968.275876,5706.97516,6516.062714,5736.485328,5609.583473,5852.23026,6985.78311,5560.171422,5446.438953
4969.954477,7564.253707,5564.160207,5938.705363,6760.453821,7028.313546,6850.234268,6972.568681,5712.945968,6563.932419,5789.948847,5630.273121,5911.548852,7155.615284,5625.434109,5462.412256
4977.346611,7583.751498,5578.230452,5938.79523,6789.995359,7069.685793,6925.145349,7014.931193,5795.391978,6600.172912,5794.5676,5656.769103,5949.092878,7236.637512,5646.949308,5463.697109
4981.295681,7650.746922,5584.934569,6005.621191,6791.635848,7081.212527,6999.907948,7091.289419,5804.819121,6693.591473,5819.189224,5725.487647,5963.876854,7301.994863,5650.202236,5493.629467
5014.488481,7720.348837,5618.433973,6055.837147,6815.34157,7176.929175,7052.768252,7147.592959,5836.52185,7053.428407,5862.850547,5732.83302,5973.451327,7453.50235,5671.38484,5556.430594
5021.902984,7930.167959,5622.920423,6107.569169,6918.846899,7239.780198,7125.043605,7295.833333,6023.934109,7293.624335,5880.554506,5762.538568,5996.784381,7581.696692,5673.142765,5560.402486
5035.835844,8519.168367,5634.165362,6133.888829,7014.201029,7253.150609,7173.557004,7319.047619,6028.041793,7435.160922,5904.421742,5764.302026,6010.956334,7765.96042,5692.727273,5571.104651
5064.47556,8578.254132,5648.296189,6144.570273,7025.534347,7297.780438,7193.879199,7351.052237,6053.246364,7499.006936,5905.828537,5807.138732,6081.088454,7927.408231,5711.003307,5590.988878
5114.526075,,5648.386571,6176.847582,7079.795782,7320.904968,7278.417735,7443.20194,6053.80814,7665.003107,5955.464775,5809.289955,6138.713705,8216.928334,5723.415662,5605.208899
5122.227333,,5670.658479,6192.803268,7091.327519,7365.299769,7381.668947,7462.39127,6059.892805,7749.457364,5958.275194,5850.890173,6141.530719,8845.930233,5749.540936,5696.181109
5195.385957,,5677.516411,6201.245301,7118.463645,7466.840835,7425.637959,7665.884135,6064.295486,7805.316212,5982.684144,5858.027657,6221.095757,9290.99154,5755.397909,5734.043027
5239.333067,,5713.988273,6214.561549,7158.957012,7572.464982,7463.079634,7667.089918,6116.330924,8236.34182,5986.349668,5870.798791,6325.87651,9332.171807,5758.988764,5783.007005
5266.717808,,5749.556187,6309.288231,7183.574239,7612.397687,7470.913716,7733.710041,6182.170543,8544.595263,6050.427714,5930.254707,6366.5,9887.320291,5765.786098,5792.104945
5270.141109,,5799.618056,6418.136609,7194.954499,7650.348837,7512.973167,7846.824618,6296.156626,9210.649438,6077.875925,5941.491199,6381.120074,9989.961039,5767.898365,5796.975471
5273.28514,,5807.97695,6614.522245,7277.171122,7723.853993,7773.255814,7990.239941,6302.934769,9541.686803,6485.935965,5942.201136,6439.024801,10005.43245,5814.359927,5823.640517
5278.391335,,5852.261717,6651.62212,7297.652616,7759.670637,7802.719907,8081.031977,6390.33377,9670.4368,6528.400473,5956.929156,6590.101442,10231.96008,5826.636654,5825.167409
5282.116651,,5901.029583,6771.270069,7511.258128,8000.462474,7856.639305,8091.147787,6450.371952,,6577.628489,5960.280746,6614.30147,,5890.223056,5876.645691
5290.641213,,5943.952231,6776.301454,7581.812301,8027.312559,7875.364091,8154.0766,6470.388449,,6607.068543,6017.055556,6701.847665,,5914.562281,5886.889686
5321.59459,,5967.635659,6858.047242,7775.029455,8135.151789,7954.396408,8298.475178,6497.61374,,6640.170444,6046.161291,6852.688061,,5957.328029,5903.312681
5331.215043,,5978.86593,6882.125007,7791.168076,8176.61402,8066.787791,8382.148181,6521.421792,,6650.640223,6210.839147,6854.263022,,5986.343252,5906.23618
5333.816464,,5988.918802,6978.059368,7857.372677,8281.155368,8129.493961,8432.049419,6534.335541,,6673.349403,6261.531008,6908.568286,,6031.562776,5911.355341
5337.11956,,5996.36188,7032.497296,7889.534884,8388.397374,8154.542966,8534.691464,6563.751615,,6734.984785,6265.01359,6930.749506,,6051.269665,5931.953357
5346.525101,,6017.065554,7106.414104,8057.178359,8631.467062,8182.82962,8617.977743,6585.809047,,6736.244061,6267.557638,6964.812942,,6054.394706,5941.980708
5378.818891,,6026.172173,7191.550388,8639.860267,8648.331922,8218.524038,8757.571729,6688.281153,,6948.743639,6437.115507,6986.759198,,6079.098604,5950.407501
5393.860005,,6036.943921,7215.776956,8885.67328,8671.011148,8342.492733,8771.804089,6733.070156,,6990.869245,6494.171797,7070.126673,,6175.079128,5985.777347
5395.812375,,6055.988965,7257.421544,8933.18392,8714.689922,8502.189149,8793.977366,6800.202128,,7052.832419,6528.800696,7070.375671,,6191.445813,6013.567499
5396.282051,,6116.512907,7272.598348,9012.705431,8723.939151,8796.022604,9031.660587,6850.403747,,7083.12907,6685.755814,7150.537247,,6201.015218,6021.910728
5401.809953,,6125.27016,7307.163448,9272.882866,8825.439792,8849.619057,9203.199687,6866.117543,,7115.301083,6729.887355,7164.570573,,6202.65625,6033.186751
5427.999031,,6131.753894,7349.627255,9886.56989,9446.327854,8885.099053,10039.97559,6866.197259,,7165.022199,6730.166942,7231.201961,,6348.964068,6064.277773
5440.051504,,6137.182617,7350.213574,,9932.253876,,,6967.098624,,7166.998684,6770.583049,7298.698427,,6361.075497,6070.166439
5449.39742,,6156.715631,7356.782946,,,,,7009.300751,,7207.84157,6823.058492,7327.466545,,6400.173718,6078.192363
5460.752353,,6173.213259,7376.540449,,,,,7031.747641,,7289.55549,6900.412151,7416.032561,,6517.724634,6101.450982
5465.628129,,6214.067998,7428.219479,,,,,7180.231254,,7298.239486,6903.964981,7548.043326,,6626.298754,6127.039045
5469.898256,,6218.931152,7462.143944,,,,,7214.748141,,7311.640337,6940.337038,7578.102438,,6633.806398,6133.084209
5489.444294,,6231.134531,7662.178936,,,,,7363.856732,,7336.680455,6992.80364,7596.573268,,6660.028412,6149.111648
5490.506942,,6238.661725,7691.865127,,,,,7627.825482,,7447.051612,7025.555855,7599.772741,,6665.531561,6156.998561
5594.213147,,6262.970705,7769.31992,,,,,7898.850167,,7479.405068,7140.032274,7613.851411,,6718.418234,6161.66374
5608.439194,,6278.802981,7789.934728,,,,,7977.244089,,7497.957086,7161.058387,7633.245349,,6771.057512,6266.339893
5616.711268,,6296.026477,7899.298843,,,,,8068.074528,,7562.443352,7218.182375,7640.987731,,6776.744022,6292.761793
5622.216921,,6307.274556,7950.981079,,,,,8120.969073,,7563.647324,7238.852801,7644.154183,,6788.010037,6308.139535
5631.479379,,6326.134199,7995.489381,,,,,8154.483897,,7578.405417,7254.537747,7667.913064,,6845.805986,6336.342089
5645.412404,,6419.205628,8036.402115,,,,,8218.669251,,7585.740741,7270.013989,7703.478135,,6856.436908,6337.789537
5687.47858,,6427.061311,8080.813953,,,,,8294.979038,,7587.721879,7332.322904,7711.379112,,6892.921288,6351.079734
5703.812984,,6432.942171,8112.999071,,,,,8358.496903,,7675.736543,7394.546238,7733.059167,,6932.550463,6375.519147
5705.238491,,6446.146267,8257.187305,,,,,8379.051212,,7681.516538,7499.814609,7736.528488,,6952.009187,6385.846245
5720.697484,,6457.949816,8257.919002,,,,,8379.439272,,7810.863186,7526.412556,7815.462025,,6969.327451,6393.672829
